CODE	Section	level	info	§
UBLGB	Net lending, excluding interest, % GDP	3	E	17
URTGA	Total revenue adjusted for the cyclical component, % GDP	3	E	17
UUTGA	Total expenditure adjusted for the cyclical component, % GDP	3	E	17
UUTGB	Total expenditure, excluding interest, adjusted for the cyclical component, % GDP	3	E	17
UBLGC	Cyclical component of net lending, % GDP	3	E	17
UTCGC	Cyclical component of revenue, % GDP	3	E	17
UUCGC	Cyclical component of expenditure, % GDP	3	E	17
18	GROSS PUBLIC DEBT	1	N	18
1	Based on ESA 2010	2	N	18
UDGG	Gross public debt	3	E	18
UDGGR	Relative to a country or aggregate	3	E	18
ADGGU	Impact of the nominal increase of GDP on gross public debt, % GDP	3	E	18
ADGGI	Snow ball effect on gross public debt, % GDP at market prices	3	E	18
UDGGS	Stock-flow adjustment gross public debt	3	E	18
2	Based on ESA 2010 AND FORMER DEFINITIONS (linked series)	2	N	18
UDGGL	Gross public debt	3	E	18
UDGGLR	Relative to a country or aggregate	3	E	18
